"","1"
"id","Subject ID within site; starts at 1 for each site"
"site","Acronym for university or MTurk site"
"group","Factor for whether site was MTurk (ref), similar, or dissimilar"
"had.read","Indicator for whether subject imagined having read (1) or not having read the material (0)"
"load","Indicator for whether subject was under cognitive load (1) or not (0)"
"lkl","Numeric for perceived likelihood"
"eff.split","Numeric for effort split between cognitive load task and reading (as in original study)"
"count.eff","Numeric for amount of effort required for cognitive load task (not in original study; was for possible secondary analyses)"
"count.hard","Numeric for difficulty of cognitive load task (not in original study; was for possible secondary analyses)"
"badness","Numeric for perceived badness of not knowing answer when called on in class (not in original study; was for possible secondary analyses)"
"importance","Numeric for perceived importance of answering correctly in class (not in original study; was for possible secondary analyses)"
"end.num","Numeric for the integer on which subject stopped counting"
"excluded","Indicator for whether subject was excluded from analysis; always = 0 in analysis dataset"
"site.n","Numeric for number of subjects in this site"
"site.n.excl","Numeric for number of subjects excluded in this site"
"tempt","Indicator for whether subject imagined tempting fate (1) or not tempting fate (0); is a reverse-coding of had.read"
"site.int.est","Numeric for interaction estimate within site from OLS (computed by data prep script)"
"site.int.pval","0.7621641"
"site.int.SE","Numeric for SE for interaction estimate within site from OLS (computed by data prep script)"
"site.int.lo","Numeric for interaction estimate CI lower bound within site from OLS (computed by data prep script)"
"site.int.hi","Numeric for interaction estimate CI lower bound within site from OLS (computed by data prep script)"
"site.main.est","Numeric for main effect estimate within site from OLS (computed by data prep script)"
"site.main.pval","0.8928513"
"site.main.SE","Numeric for SE for main effect estimate within site from OLS (computed by data prep script)"
"site.main.lo","Numeric for main effect estimate CI lower bound within site from OLS (computed by data prep script)"
"site.main.hi","Numeric for main effect estimate CI lower bound within site from OLS (computed by data prep script)"
"is.mturk","Indicator for whether site was MTurk (1) or any university, with similar or dissimilar collapsed (0)"
"SAT","Numeric for median SAT score of site (NA if foreign or MTurk)"
